archetype_a,archetype_b,win,loss,draw,games,winrate
Mono-Blue Belcher,Temur Living End,2,1,0,3,66.7
Mono-Blue Belcher,Esper Blink,0,3,0,3,0.0
Mono-Blue Belcher,W-U-B-G Goryo's Vengeance,1,0,0,1,100.0
Mono-Blue Belcher,Izzet Affinity,1,2,0,3,33.3
Mono-Blue Belcher,Izzet,1,1,0,2,50.0
Mono-Blue Belcher,Gruul Broodscale,1,2,0,3,33.3
Gruul Eldrazi Ramp,Temur Living End,1,1,0,2,50.0
Gruul Eldrazi Ramp,Gruul Eldrazi Ramp,1,1,0,2,50.0
Gruul Eldrazi Ramp,Ruby Storm,1,0,0,1,100.0
Gruul Eldrazi Ramp,Amulet Titan,1,1,0,2,50.0
Temur Living End,Gruul Eldrazi Ramp,1,1,0,2,50.0
Temur Living End,Esper Blink,0,2,0,2,0.0
Temur Living End,Gruul Broodscale,2,1,0,3,66.7
Temur Living End,Mono-Blue Belcher,1,2,0,3,33.3
Temur Living End,Golgari Yawgmoth,1,0,0,1,100.0
Boros Aggro,Domain Zoo,1,0,0,1,100.0
Izzet Prowess,Gruul Broodscale,1,1,0,2,50.0
Izzet Prowess,Boros Aggro,1,1,0,2,50.0
Domain Zoo,Domain Zoo,1,1,0,2,50.0
Gruul Eldrazi Ramp,Izzet Affinity,0,2,0,2,0.0
Gruul Eldrazi Ramp,W-U-B-G Goryo's Vengeance,1,1,0,2,50.0
Gruul Eldrazi Ramp,Azorius Blink,0,0,1,1,
Gruul Eldrazi Ramp,Esper Blink,0,1,0,1,0.0
Temur Living End,Boros Energy,0,5,0,5,0.0
Temur Living End,Izzet,0,0,1,1,
Izzet Affinity,Gruul Eldrazi Ramp,2,0,0,2,100.0
W-U-B-G Goryo's Vengeance,Ruby Storm,0,1,0,1,0.0
Temur Living End,Ruby Storm,1,0,0,1,100.0
Amulet Titan,Ruby Storm,1,1,0,2,50.0
Amulet Titan,Azorius Blink,0,2,0,2,0.0
Domain Zoo,Boros Aggro,0,1,0,1,0.0
W-U-B-G Goryo's Vengeance,Domain Zoo,0,2,0,2,0.0
W-U-B-G Goryo's Vengeance,Mono-Blue Belcher,0,1,0,1,0.0
Mono-Red Storm,Gruul Broodscale,1,0,0,1,100.0
Mono-Red Storm,Izzet Affinity,0,1,0,1,0.0
Mono-Red Storm,Izzet,1,0,0,1,100.0
Ruby Storm,Amulet Titan,1,1,0,2,50.0
Ruby Storm,Ruby Storm,1,1,0,2,50.0
Golgari Yawgmoth,Temur Living End,0,1,0,1,0.0
